日本	高收入国家	357531	384201	382815	365204	358184	368416	367960	347060	333498	330110	295315	290081	287580	287013	271731	265959	258839	260244	260292	253630	245372
哈萨克斯坦	中高等收入国家	1352	1399	1607	1594	1696	1756	1523	1433	1633	1483	1513	1691	1415	0	1824	1742	1271	993	1055	789	0
肯尼亚	中低等收入国家	25	0	0	23	22	31	34	41	41	63	48	77	135	123	127	132	137	144	135	244	294
吉尔吉斯斯坦	中低等收入国家	60	80	84	123	179	0	0	0	155	135	146	134	124	110	111	132	122	84	137	0	92
韩国	高收入国家	55970	72831	73714	76570	90313	105250	122188	125476	128701	127114	127316	131805	138034	148136	159978	164073	167275	163424	159084	162561	171603
斯里兰卡	中低等收入国家	119	71	120	123	95	120	149	153	151	201	202	225	194	0	328	0	218	280	277	343	356
立陶宛	高收入国家	86	66	68	85	64	70	68	65	62	87	91	108	93	109	117	123	101	95	81	81	90
卢森堡	高收入国家	24	85	51	41	16	23	24	26	15	48	60	79	85	109	113	128	128	143	156	152	117
拉脱维亚	高收入国家	91	98	117	150	91	108	112	114	139	206	240	178	173	193	225	103	136	95	90	86	82
摩洛哥	中低等收入国家	0	104	0	0	0	104	140	178	150	177	135	152	169	197	316	355	224	237	198	187	199
摩纳哥	高收入国家	15	6	6	8	5	7	2	6	11	7	3	6	6	4	5	6	5	7	18	4	10
摩尔多瓦	中高等收入国家	256	240	437	239	293	297	377	303	333	273	134	139	97	93	67	67	64	91	73	92	85
马达加斯加	低收入国家	10	7	0	4	3	16	7	4	9	14	1	9	3	4	4	5	3	6	9	9	0
墨西哥	中高等收入国家	455	431	534	526	468	565	584	574	629	685	822	951	1065	1294	1210	1246	1364	1310	1334	1555	1305
北马其顿	中高等收入国家	64	71	66	42	48	44	53	55	105	34	39	27	37	50	42	0	0	0	0	0	0
马耳他	高收入国家	11	23	26	22	0	0	0	0	10	14	8	12	9	11	13	5	9	3	0	0	5
蒙古	中低等收入国家	0	0	106	121	167	143	100	103	0	0	76	110	0	0	133	139	109	112	124	82	84
莫桑比克	低收入国家	2	0	0	0	0	0	0	1	18	2	7	15	8	14	13	14	24	15	24	34	23
马来西亚	中高等收入国家	218	206	271	322	376	522	522	531	670	818	1234	1231	1076	1114	1199	1353	1272	1109	1166	1116	1071
荷兰	高收入国家	2545	2465	2110	2122	2288	2187	2217	2168	2079	2421	2575	2527	2585	2375	2315	2294	2207	2290	2241	2111	2228
挪威	高收入国家	1335	1311	1189	1178	1079	1142	1143	1119	1225	1150	1246	1117	1122	1009	1101	1106	1153	1227	1152	1082	957
新西兰	高收入国家	1420	1463	1768	1839	1845	1631	1893	2153	1892	1256	1555	1585	1501	1425	1614	1636	1184	1075	1014	1017	324
巴基斯坦	中低等收入国家	44	46	58	55	57	73	143	91	109	170	0	114	92	96	151	146	209	204	193	306	313
秘鲁	中高等收入国家	48	40	36	29	32	38	27	39	28	31	37	39	39	54	73	83	67	72	100	89	137
菲律宾	中低等收入国家	144	154	135	149	141	158	210	223	225	216	172	170	186	162	220	334	375	327	323	529	501
波兰	高收入国家	2285	2404	2202	2313	2268	2381	2028	2157	2392	2488	2899	3203	3879	4410	4237	3941	4676	4261	3924	4207	3887
朝鲜	低收入国家	0	0	0	0	0	0	5861	6350	6846	0	7956	8018	7956	8354	0	0	0	0	0	0	0
葡萄牙	高收入国家	81	81	107	130	125	123	158	184	250	381	571	499	571	621	647	722	925	724	644	661	703
罗马尼亚	中高等收入国家	1061	1003	1128	1478	881	937	916	814	827	995	1054	1382	1424	1022	993	952	975	1005	1098	1100	881
俄罗斯联邦	中高等收入国家	19900	23377	24777	23712	24969	22985	23644	27884	27505	27712	25598	28722	26495	28701	28765	24072	29269	26795	22777	24926	23337
沙特阿拉伯	高收入国家	72	76	46	61	56	81	119	119	128	0	0	288	347	0	491	652	715	1070	909	1078	1188
苏丹	低收入国家	2	6	1	2	6	4	6	3	3	340	332	252	249	0	269	0	267	284	281	349	238
新加坡	高收入国家	374	516	524	624	626	641	569	626	696	793	750	895	1056	1081	1143	1303	1469	1601	1609	1575	1727
塞尔维亚	中高等收入国家	0	0	0	0	0	473	372	432	395	386	319	290	180	192	201	202	178	192	171	163	168
斯洛伐克共和国	高收入国家	213	236	246	259	210	215	155	193	239	167	176	234	224	168	184	211	228	220	183	217	206
斯洛文尼亚	高收入国家	261	307	301	300	310	342	344	287	331	301	373	442	470	0	0	0	0	0	0	255	0
瑞典	高收入国家	4142	4224	3926	3358	3025	2768	2522	2446	2527	2549	2186	2196	2004	2288	2332	1984	2038	2032	1992	1838	1802
阿拉伯叙利亚共和国	低收入国家	87	247	189	183	213	205	105	124	0	0	0	0	0	0	0	0	198	0	120	103	121
泰国	中高等收入国家	738	561	534	615	802	819	891	1040	945	902	1025	1214	927	1020	1572	1006	1029	1098	979	904	821
突尼斯	中低等收入国家	67	47	22	45	35	46	56	77	76	76	105	113	137	150	112	142	180	235	172	180	0
土耳其	中高等收入国家	276	277	337	414	489	682	928	1072	1810	2221	2555	3180	3885	4434	4392	4766	5352	6230	8175	7156	7871
乌克兰	中低等收入国家	5401	5620	7208	1601	1635	4090	3538	3474	3440	2825	2434	2556	2649	2491	2856	2457	2271	2233	2283	2107	2097
美国	高收入国家	149251	164795	177513	184245	188941	189536	207867	221784	241347	231588	224912	241977	247750	268782	287831	285096	288335	295327	293904	285095	285113
乌兹别克斯坦	中低等收入国家	767	755	803	715	931	273	264	323	324	262	238	370	282	257	299	345	288	353	357	470	374
越南	中低等收入国家	35	34	52	69	78	103	180	196	219	204	258	306	300	382	443	487	582	560	592	646	720
也门共和国	低收入国家	9	7	6	9	16	10	20	14	11	0	0	20	7	36	43	29	5	16	15	0	60
南非	中高等收入国家	138	895	966	983	922	956	1003	866	915	860	822	821	656	608	638	802	889	704	728	657	567
赞比亚	中低等收入国家	5	0	6	3	3	1	5	4	19	26	9	5	3	7	13	14	20	15	12	11	2
